               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12019,            0.027465,            0.061492,          0.00049131,               0.075,           0.0020773,          0.00033932,            0.072913,            0.023456,            0.038772,              0.0973,              0.0003,              0.0003
                   1,              0.1142,            0.026885,            0.058164,           0.0015045,             0.36667,             0.02023,           0.0030185,            0.067723,            0.022138,             0.03874,            0.093677,           0.0006769,           0.0006769
                   2,             0.10698,            0.026424,            0.052353,           0.0014803,             0.43611,            0.033285,            0.010164,            0.059848,            0.020895,            0.038721,            0.090027,           0.0010274,           0.0010274
                   3,             0.09218,            0.026352,            0.050872,           0.0016217,             0.57778,            0.082339,            0.020026,            0.052143,            0.019407,            0.038502,            0.086351,           0.0013515,           0.0013515
                   4,            0.085547,            0.024674,            0.053118,           0.0016305,             0.57778,            0.085163,            0.023244,            0.049922,            0.018486,            0.038024,            0.082649,           0.0016492,           0.0016492
                   5,            0.084716,            0.027204,            0.053618,           0.0024477,             0.68889,            0.086655,             0.02794,            0.047805,            0.017349,            0.037264,            0.078921,           0.0019205,           0.0019205
                   6,            0.079397,            0.025445,            0.051896,           0.0031606,             0.91111,            0.077029,            0.029981,            0.043493,            0.016471,            0.036132,            0.075165,           0.0021654,           0.0021654
                   7,             0.08178,            0.025632,            0.047896,            0.003553,             0.96667,              0.1072,            0.031858,            0.038996,            0.015698,            0.035279,            0.071384,           0.0023839,           0.0023839
                   8,            0.072368,            0.023629,             0.04745,           0.0036085,                   1,             0.10187,            0.039602,            0.036386,            0.014897,             0.03483,            0.067576,            0.002576,            0.002576
                   9,             0.07329,            0.025578,             0.04871,           0.0035685,                   1,             0.18312,            0.085666,            0.033127,            0.014278,            0.034419,            0.063742,           0.0027417,           0.0027417
                  10,            0.060157,            0.023263,            0.046462,           0.0035507,                   1,             0.34104,             0.17234,            0.033266,            0.013195,            0.033748,            0.059881,            0.002881,            0.002881
                  11,             0.06259,            0.024136,            0.044964,           0.0035359,                   1,             0.43363,             0.18033,            0.031432,            0.012389,            0.032964,            0.055994,           0.0029939,           0.0029939
                  12,            0.060992,            0.020535,            0.041685,            0.090871,             0.77778,             0.44004,             0.21448,            0.030149,            0.011622,            0.032196,             0.05208,           0.0030804,           0.0030804
                  13,            0.065206,            0.020807,            0.044949,             0.47803,             0.53056,             0.34064,             0.11069,            0.033029,            0.011165,            0.031739,            0.048141,           0.0031405,           0.0031405
                  14,             0.04807,            0.020201,            0.039637,             0.56904,             0.30556,             0.18563,            0.055476,            0.039102,            0.010233,            0.030302,            0.044174,           0.0031742,           0.0031742
                  15,            0.063333,            0.019491,            0.042352,             0.64837,             0.41667,             0.41717,             0.18041,            0.028685,            0.010691,             0.02949,            0.040182,           0.0031815,           0.0031815
                  16,            0.056588,            0.020506,            0.042213,             0.63747,             0.41667,             0.40218,             0.19554,            0.028166,            0.010514,            0.029266,            0.036162,           0.0031624,           0.0031624
                  17,            0.048203,            0.022347,            0.040601,             0.60902,             0.41667,             0.36904,             0.14202,            0.032496,           0.0095984,            0.028091,            0.032117,           0.0031169,           0.0031169
                  18,            0.059566,             0.02056,            0.042073,             0.45354,             0.53333,             0.37872,             0.14908,            0.030457,           0.0096431,            0.027626,            0.028045,            0.003045,            0.003045
                  19,            0.054049,            0.017831,            0.046372,             0.65367,             0.41667,             0.41401,             0.22383,             0.02702,           0.0096549,            0.026985,            0.023947,           0.0029467,           0.0029467
                  20,            0.053184,            0.020633,            0.040037,             0.42561,              0.6797,             0.46155,             0.20593,            0.029159,           0.0091712,            0.026111,            0.019822,            0.002822,            0.002822
                  21,            0.043495,            0.018116,            0.043955,             0.43318,              0.7244,              0.4911,             0.20917,            0.027664,           0.0090681,            0.025733,            0.015671,           0.0026709,           0.0026709
                  22,            0.050501,            0.019551,            0.043784,              0.5418,             0.70048,             0.65507,             0.31727,            0.025673,           0.0090918,            0.025304,            0.011493,           0.0024934,           0.0024934
                  23,            0.047682,            0.021145,            0.039719,             0.53084,             0.78427,             0.57679,             0.27664,            0.024555,           0.0088863,            0.025056,           0.0072895,           0.0022895,           0.0022895
                  24,            0.046846,            0.020943,            0.038664,             0.53182,             0.80072,              0.6649,             0.30105,            0.026127,           0.0086978,            0.024742,           0.0030592,           0.0020592,           0.0020592
                  25,            0.046789,            0.017949,            0.038882,              0.5702,             0.80032,             0.67614,             0.34613,            0.022955,           0.0086925,            0.024538,             0.00175,             0.00175,             0.00175
                  26,            0.046072,            0.016596,            0.038278,              0.4893,             0.75678,             0.55497,             0.22719,            0.025143,            0.008508,            0.024317,             0.00175,             0.00175,             0.00175
                  27,            0.049259,            0.017612,            0.041472,             0.57387,             0.81186,             0.63364,             0.35294,            0.022002,            0.008443,            0.024036,             0.00142,             0.00142,             0.00142
                  28,            0.043569,            0.019473,            0.038805,             0.58759,                 0.8,             0.69825,             0.34699,            0.024535,           0.0082475,            0.023867,             0.00109,             0.00109,             0.00109
                  29,            0.046965,            0.018278,            0.043233,             0.60093,                 0.8,             0.69825,             0.36862,            0.022277,            0.008231,            0.023781,             0.00076,             0.00076,             0.00076
