               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037954,             0.01232,            0.034485,              0.8186,             0.75828,             0.85491,              0.4932,            0.017557,           0.0061492,             0.01984,              0.0973,              0.0003,              0.0003
                   1,            0.036851,            0.012589,            0.033352,             0.80451,             0.73927,             0.87254,             0.52295,            0.016906,            0.005976,            0.019655,            0.093665,          0.00066535,          0.00066535
                   2,            0.035936,            0.013443,            0.032931,             0.80798,             0.73772,             0.87254,             0.51014,            0.017695,           0.0059098,            0.019465,            0.089991,           0.0009911,           0.0009911
                   3,            0.034651,            0.012343,            0.029058,             0.80621,             0.73526,             0.85872,             0.51285,            0.017365,            0.005772,            0.019281,            0.086277,           0.0012772,           0.0012772
                   4,            0.035457,            0.011817,            0.031381,              0.8614,             0.72031,             0.85443,             0.51317,             0.01709,           0.0057196,            0.019244,            0.082524,           0.0015238,           0.0015238
                   5,            0.034966,            0.014154,            0.032985,              0.7876,             0.71475,             0.80288,             0.48811,            0.018325,           0.0055914,            0.019208,            0.078731,           0.0017308,           0.0017308
                   6,            0.035015,            0.012342,            0.032809,             0.78142,             0.74805,             0.86277,             0.52471,            0.019062,           0.0054784,            0.019157,            0.074898,           0.0018981,           0.0018981
                   7,            0.038019,            0.013755,            0.031409,             0.82994,             0.74998,             0.86277,              0.4841,            0.020112,           0.0054284,            0.019089,            0.071026,           0.0020259,           0.0020259
                   8,            0.034692,            0.011883,            0.028012,             0.83326,             0.75086,             0.86277,             0.44666,            0.019965,           0.0054303,            0.019292,            0.067114,            0.002114,            0.002114
                   9,             0.04276,            0.013894,             0.03215,             0.78972,             0.69297,              0.8223,             0.41613,            0.019978,           0.0053631,              0.0193,            0.063163,           0.0021626,           0.0021626
                  10,            0.034769,            0.011625,            0.030578,             0.75783,             0.73314,             0.86277,             0.44177,            0.022527,           0.0053095,            0.019182,            0.059172,           0.0021715,           0.0021715
                  11,            0.037129,            0.012954,            0.030779,             0.76149,             0.77609,             0.84459,             0.43897,            0.021707,           0.0053069,            0.018952,            0.055141,           0.0021409,           0.0021409
                  12,            0.038346,             0.01134,            0.030795,             0.79001,             0.76963,             0.85848,             0.52626,            0.018314,           0.0052699,            0.018851,            0.051071,           0.0020706,           0.0020706
                  13,            0.038442,            0.011644,            0.030476,             0.76981,             0.80012,             0.85841,             0.51242,            0.019663,           0.0052849,            0.018701,            0.046961,           0.0019607,           0.0019607
                  14,             0.02914,            0.011135,             0.02744,             0.78113,             0.75015,             0.86944,             0.56925,             0.01922,           0.0052616,            0.018466,            0.042811,           0.0018113,           0.0018113
                  15,            0.035509,             0.01179,            0.026231,             0.80858,             0.78113,              0.8723,             0.58502,            0.016481,           0.0052102,            0.018376,            0.038622,           0.0016222,           0.0016222
                  16,            0.034747,            0.012726,            0.026937,               0.809,             0.78253,             0.87611,             0.60762,            0.016124,           0.0052179,            0.018315,            0.034394,           0.0013936,           0.0013936
                  17,            0.028252,            0.013321,            0.026601,             0.80661,             0.79013,             0.88444,             0.64406,            0.016121,           0.0052218,            0.018084,            0.030125,           0.0011254,           0.0011254
                  18,            0.035546,            0.012426,            0.029177,             0.80994,             0.78925,             0.88444,             0.63234,            0.016002,           0.0052189,            0.018008,            0.025817,           0.0008175,           0.0008175
                  19,            0.036026,            0.011393,            0.035038,             0.80944,             0.78948,             0.88444,             0.61594,            0.015871,           0.0051991,            0.017941,             0.02147,          0.00047005,          0.00047005
